label,text
0,Esstondhu ಹುಗಿಸ್ಕೊತಿಯಲ್ಲ...ಅಕ್ಕ ಪಕ್ಕ ಮನೆ ಹತ್ರ ಹೆಂಗ್ ಹೊಡಡ್ತಿಯ.... ಮುಖ ನೋಡಿದ್ರೆ ಹುಗಿಬೇಕು ಅನ್ಸುತ್ತೆ.... ನಿನ್ನಮುಕ ಮುಚ್ಚ
1,ಪೂಜಾ ನಿನ್ನ ನಂಬರ್ ವಾಟ್ಸಪ್ ನಂಬರ್ ಮೆಸೇಜ್ ಮಾಡು ಸೂಪರ್ ವಿಡಿಯೋ ಮಾಡ್ತೀಯಾ
1,ಈ ತರ ಅರ್ಧಂಬರ್ಧ ಬಟ್ಟೆ ಹಾಕಿಕೊಂಡು ಕುಣಿಯೋರು..ಈ ಟ್ರೋಲರ್ಸ ಕಣ್ಣಿಗೆ ಕಾಣಿಸಲ್ವ.... ಇಂತವರು ವೀಡಿಯೋ ನೇ ಮಾಡೋಕೆ ಬಿಡಬಾರದು...... ಇಂತವರಿಗೆ ಸಾವಿರ ಸಾವಿರ ಲ್ಲೈಕ್ಸ್... ಮಿಲಿಯನ್ ಫಾಲೋವರ್ಸ್...... ಇದೇ ಜನಗಳ ಮಂಕ್ ಬುದ್ಧಿ...😠😠😠😠😠
1,ಅಕ್ಕ. ವಿಡಿಯೋ ಸೂಪರ್ ಹಯ್. ಕಾಫಿ ಐಯ್ತು. <number> ಕಾಲ್ ಮೀ. ಅಕ್ಕ.
0,ಸೂಳೇ ಮುಂಡೆ ನಿನ್ನ ತುಲ್ಲಲ್ಲಿ ನನ್ನತುಣ್ಣೆ  ಈಡ ನಮ್ಮ ಕನ್ನಡ ಭಾಷೆಗೆ ಬೆಲೆ ಕೊಡುವುದಿಲ್ಲ ವೇನೆ ನೀನು ನಮ್ಮ ಕರ್ನಾಟಕದಲ್ಲಿ ಇರೋದು ವೇಸ್ಟ್ ದೊಡ್ಡ ಸೂಳೇ ನೀನು
1,ನಿನಗೋಸ್ಕರ ಕಾಯ್ತಾ ಇದ್ದೀನಿ ಫೋನ್ ಮಾಡು
1,ಪಾಪಿ ಚಿಕ್ಕಮ್ಮ ಅಯ್ಯಾ ಪಾಪ ಅಣ
1,ಕಚಡಾ ನಾಯಿ ನನ್ ಮಕ್ಕಳ ನಿಮ್ಮ ಅಕ್ಕ ತಂಗಿ ಇಲ್ವ ಸೂಳೆಮಕ್ಕಳು ನಂಬರ್ ಕೊಡ್ತೀರಾ ರಂಡಿ ಮಕ್ಕಳ
1,ಕೋತಿ ನೋಡಿದ್ರ ಆ ಕಾಮೆಂಟ್
0,ಕತ್ತೆ ತರ ಇದ್ದೀಯ
