label,text
0,அனைவரும் உம்புறியா புண்டாமகங்கல
0,நீ எப்பவும் நிமிர்ந்து நில்  நீ குணிந்தால்தான் அடிப்பார்கள்
1,அட்மின் ஆக மாறிய எல்லா நல்லுங்களுக்கும் என் அன்பான வாழ்த்துகள்👏👏🤗💕💕♥️♥️♥️
1,பெற்ற மகளாக பார்க்கும் மாமியாரும் உண்டு...  எதிரியை போல எறிந்து விழும் மருமகள்களும் உண்டு...  அனுபவத்துல சொல்றேன்...
0,எங்க சுன்னிக எல்லாம் பயங்கரம்   சுன்னிய பாத்தா ஆ இ அம்மா புண்டை கிழிஞ்சுரும் 🎶🎶🎶  அட உண்மைங்க ஆ இ அலிப்புண்டை கூட கிழிஞ்சுரும் 💃💃😂😂
0,தேவிடியா பயன் ஓடுது கேனப்புண்ட   பாருங்க மக்களே சீக்ரம் இவன் வீட்டில் பூத்து  இவன் அம்மாவை ஓக்க   ஆ இ   ஐடி காரனை அணுகவும் மக்களே 🙃🙃🙃🙃😁😁😁😅😅😅
0,இத்துடன் இல்ல உன் அம்மாளை ஒத்ததுடன்   விந்த கழுவாம போற   கம்முனாட்டி கூதி 😂
1,உன்னை தொட்டாலும் பொதுப் நல்ல பாடல் கேளுங்கள் நன்பர்களே
1,சுந்தரி கண்ணால் ஒரு சேதி சொல்லடி இந்நாள் நல்ல தேதி ..........
0,மூதேவி ஸல் போடாம எவனுக்கு காட்டுற
0,மயிறுனு மாதிரி இருக்க
0,என்ன புண்டைக்குதான் இடது கைல சாப்பிட்டு வீடியோ போடுற தேவிடியா முண்ட
0,பீ தின்னி முண்ட
0,நீ மூடு லூசு தேவி****
0,போ di புண்ட
1,சீரடி சாய் பாபா ஆசியோடு இனிய நல்வாழ்த்துக்கள் !!
0,வாய பாரு புண்ட மாதிரி
1,💐💐அட்மினாக பதவி ஏற்கும் அனைவருக்கும் என்னுடைய அன்பான வாழ்த்துக்கள்🤗🤗
1,உங்களைப்போல ஊழல்வாதிகளுக்கு இனி தமிழகத்தில் இடமில்லை எடப்பாடி பழனிச்சாமி அவர்களின் நல்லாட்சி இனி தமிழகத்தில் தொடரும் பாவம் இலவு காத்த கிளியாக நீங்கள் இருப்பீர்கள் அதுதான் உண்மை
0,"கமெண்ட் டெலிட் பண்ணாத ,,  ஊன்ம்ப பொறந்த புன்டை,"""
0,அது ஒரு பைத்தியம்
1,உங்களுக்கு கூடபிறந்தவங்க இருக்காங்கலா
0,உன் புண்டை எனக்கு உண்டா
0,உன் கண்களை பாத்தா ஓக்கனும் போல் இருக்கிறது
0,தே பயிய  உன்ன ஓ பெத்தல  இல்ல
0,அப்புறம் என்ன புண்டைக்கு நீ வெள்ளையா இருக்கு
0,அவரு ஒரு பூ....  நீ என் பு....
0,உன்னையெல்லாம் குனியவச்சு குத்தணும் டி கி.கே.....
0,கேவலம் நல்லா இல்ல
1,உங்க முளை சூப்பரா இருக்குங்க
0,அட கோமாளி பயலே
1,இந்தமா பெண்ணு  நல்ல பையன love பன்னுமா ஏம்மா பெண்ண love பன்ற
1,நீ யேல்லாம் வீடியோ பன்னாத
0,போய் முதல்ல மெண்டல் ஹாஸ்பிடல் போய் சேருங்க
0,சனியனே முதல் உன் முகர கடடைய பாரு
1,எனக்கு இந்த வீடியோல ரொம்ப புடிச்சது எல்லாமே பிடிக்கும் இருந்தால் ரொம்ப பிடிச்சது கடைசியா வர கட்டி பிடிச்சபடி தண்ணிக்குள்ள வலுவாக பாத்தீங்களா அது எனக்கு ரொம்ப பிடிக்கும் அழகா செஞ்சாங்க என்ன வீடியோ மே எனக்கு ரொம்ப பிடிக்கும்
0,உன் மூஞ்ச பாத்தா எப்படி இருப்பான்
1,தமாசு தமாசு செட் அவல 🤣🤣🤣🤣🤣🤣🤣
1,நி மதுரை பொன்னுன்னா  நான் யார்ரு
1,💟💟💟💟💟💟💟💟💟💟அழகான கண்கள் அழகான பார்வை😍😍😍😍😍😍😍😍💯💯💯💯💯😘😘😘😘😘😘😘💞💞💞💞
1,டேய் நல்லாவே இல்ல டா நீ இன்னும் லேடியா
0,ஓடி வா ஓடை பக்கம். ஆயை கழுவலாம் மெதுவாக. என்னடா வம்ப போச்சு அதயும் பாக்குறாங்கேளே
1,உன் மல்லிகை இதலை உதிர விடமாட்டேன் பூத்து குழங்கும் புன்னகை நி❤💘
1,இன்பாக்ஸ் வாடி அம்மு
0,அவளத்தையும் அவிட்டு போட்டுட்டு அதுல ஆடுல தேவுடியா
1,டேய் உன் ஆளு ஷேர் ஆட்டோ வாடா
0,மு லை சூப்பர்
1,நீ செத்தா உன் வீட்லயே போட்டோ காட்ட மாட்டாங்க
0,அட முட்டா பய மவனே
0,மூத்திரம் விட்டு கூலி
0,ரோட்டுல லைட் அடித்து சம்பளம் வாங்க டி தேவிடியா
1,மூக்கும் முழியுமா லட்சனமா இருக்கேடி.
0,மூளை பெருசா இருக்கு
1,பால் எத்தனை லிட்டர் கறக்கும்
0,ஏண்டி நீயும் அம்மாவும் ஒண்ணாடி திருட்டு தே....
0,அட கிழட்டு மூதேவி
0,உங்கம்மா புண்டமவனே  நீ எல்லம் உயிரேட இருக்க பேய்சாவுடா  நீ  மட்டும்தான் வீடியா பாக்கரயாட   எருமகூதி வீடியாவ பஸ்ட் dilet  பண்ணுடா
0,டேய் நாயே வீடியோ எடுக்குறதுக்கு பதிலா இரண்டு பேரா புடிச்சி ஊசி போட்டிருக்கலாம்
0,புளுத்திடா வாயும் மொகர கட்டையும்
0,செருப்ப கழட்டி ஒரு அடி தரும் .....
0,ஓத்தா அதுக்கு நீ தலைவா வா
1,உங்கள் புன்னகை கலந்த நடிப்பு மிகவும் சூப்பர் ப்ரண்ட்ஸ் அருமை அருமை
0,இது எல்லாம் ஒரு பொழப்பு உங்களுக்கு தே...... புல்லிங்கோ
1,உனக்கு ஒரு ஸ்கிம் இருக்கு ஒன்னு வாங்குனஒன்னு பிரி வேணுமா
0,கொய்யா ல இவ்லோ மேகப் போட்டும் கருப்பா தான் இருக்க
0,கோத்தா யார்ரா நீ இந்த ஆப் பையும் கெடுத்து விடாதீர்கள் நாலு நல்ல விஷயங்களை தெரிந்து கொள்ள வேண்டும்
0,பரதேசி நீ மட்டும் என்னோட கையில கிடைச்சா அடி   ஒளிரும்
0,அடேய் தேவடியாளுக்கு பிறந்தவர்
1,அது தெரியும் மூடிட்டு போ
1,இது என்னோட பொண்டாட்டி இல்லை யார் வேணாலும் மெசேஜ் பண்ணிக்கங்க
1,பாக்கும் பாக்கும் பாக்ர கண்ண நோன்டிடவேண்டயதா
0,அந்த தேவுடியாவுக்கு அறுவுபுண்ட இல்ல
0,இந்த லூசுங்க இங்கேயும் வந்துடுச்சு
1,உங்களுக்கு எண்ணப்பா பைத்தியம்
0,போட லூசி நீ
1,அடுத்த முதல்வர் எடப்பாடி பழனிச்சாமி
1,முன் பக்கம் பயங்கரமா இருக்கு டி செல்லம்
0,போடி புண் டை
0,பெருசா இருக்கு  ரெண்டு காய் d ponda
1,ஹாய் சூப்பர் யா 🌹🌹🌹🌹குட் மார்னிங்
0,உங்கள் பேக் செமைய இருக்கு
1,நல்ல கொழுத்த கட்ட நீங்கள்
1,ஹாய் சூப்பர் சூப்பர்🙏🌹🌷🌷💜💜♥️⚛️🌳🌴🌴💖🌲🏵️🏵️
0,சேட்டமுத்து தேவடியாமொவன நாகரீகமா வீடியோ போடுல
1,எந்த ஊரு உங்களுக்கு
1,என்னடா வாய் இது இதே வேற close up   ல வேற காட்றே
1,என் அன்பு சகோதரிக்கு முதல் வணக்கம் 🙏🌹என் பெயர் திருமலை திருவள்ளூர் மாவட்டம் மீஞ்சூர் 🙏🌹👍
1,என்னமா ஆச்சி அண்ணன் நான் இருக்க
1,Super sang எந்த ஊரு சொல்லுமா தங்கச்சி ப்ளீஸ் 🙏🌹
1,மாப்ள எங்க போய்இருக்காரு
1,யோவ் சேர் ஷட் என்ன பித்தலாட்டமா இருக்கிறது 😡 நாங்கள்  போஸ்ட் போடுறதை மற்றவர்கள் போடுகிறார்கள் அவருடைய போஸ்ட் அதிகம் லைக் கமெண்ட் வியூஸ் வருகிறது அதை முதலில் நீங்க நிருத்து 😡 ஃபாலோ அதிகம் வரவே இல்லை 🤷
0,த்தூ எச்சிகல முதீ
1,சூப்பர் அண்ணன கண்டுபுடிச்சிட்ட விரைவில் பார்ப்போம்
0,இந்த நாய்களை பெற்ற ஈன நாய்களை செருப்பால அடிக்கணும். உருப்படாத நாய்கள்.
0,😘அவ உங்க அக்கா...நீ பக்கா...தே....
1,ஹலோ நல்லா இருக்கீங்களா
1,நீ என் அருகில் இல்லை. உன் நினைவில் இருக்கிறானா என்று தெரியவில்லை ஆனால் நீ எப்போதும் என் நினைவில் இருக்கிறாய். அதனால் நான் உன்னை பிரியவில்லை என்று நினைக்கிறேன்..... 😭
1,"காலம் காத்திருப்பது இல்லை ஆனால், நாம் நேசிக்கும் உண்மையான இதயம் நமக்காக நிச்சயம் காத்திருக்கும்"
0,தாலி ஜாக்கெட் உள்ளே போடு மூதேவி எவனும் அறுவடை(புடிக்கிஒடுறப்போரான்)  செய்ய போறான்
1,இவருதான் உங்க முதல் புருஷனா.....அப்போ அந்த 2 3 4 5 லாம் எங்க
1,காதல் என்பது ஒரு அழியாத வரலாறு எத்தனை காலங்கள் எத்தனை நாட்கள் ஆனாலும் என் உண்மையான காதல் என்றும் மறக்காது ❤ ஐ லவ் யூ பேபி k சந்தியா......... 😍😍😍😍😍♥️♥️♥️♥️♥️
1,கண்ணுக்கு தெரியாத மிருகதால்  மண்ணுக்கு போகும் சில  உயிர்கள் உறக்கம் துளைத்து உறவை பிரிந்து சேவை செய்யும் மருத்துவர் ஓடி திரிந்து வெய்லில் வாடி  ஊரை சீரமைக்கும் காவலர் அழுக்கு உடையில் ஊரை அழகாக்கும் துப்பரவு பணியாளர் இறக்கம் குணம் கொண்டு இரங்கிவரும் தொண்டு நிறுவனர் உதவி கரம் நீட்டும் உள்ளங்கள் இறைவன் கன் பர்கட்டும் _Antonynelson
0,"இன்னும்""நீ,சாகலயாடி"
0,எத்தனை பேர் என்பது உன்மைய சொல்லு தேவடியா
0,உன்னை நான் ஓக்கவேண்டும் பார்க்க வரலாமா
1,கோடி கோடியா கொடுத்து மெத்தையில் தூங்கினாலும் தாய்மடி தந்த தூக்கம் மட்டும் தராது.........
0,அடியே பீத்த சிறிக்கி உன் மூஞ்சியை கண்ணாடியில் பாத்தயாடி உன் பார்த்தால் சோறு திங்கமுடியலை எவ்வளவு தான் வீடியோவை தல்லி விட்டுவிட்டு போனாலும் எப்படியாவது உன் மூஞ்சி தட்டு படுது அன்னைக்கு வாந்தி தான் வருது சோறு திங்க முடியவில்லை..
0,இந்த முலையில் பால் குடிக்க ஆசையாக உள்ளது
0,மூதேவிகளா காலத்தின் கொடுமை.. கரும் பூஞ்சை போல இருக்கா???
0,இவ ஒரு தண்டம்
0,"ஏண்டி,இது ஒரு பொழப்பா"
0,Wow தொந்தி சூப்பர்.......
0,அறிவு கெட்ட முண்டம்
