label,text
0,பின்னாடி நாய் கடிக்கவருது
0,King king.... King.... Ean சுன்னி ஏரியுது வந்து தண்ணி ஊதி அண்ணாச்சிட்டு po
0,ஆள் இல்லாத காட்டுக்கு யார ஓக்க போனீங்க
0,அம்மா பேய் எருமை எருமை
0,போடா எச்ச புறம்போக்கு தேவிடியா நாயே
0,"ஹாய் டா அரவாணி புண்ட'',,😁"
0,"நாடுத்தேருவுல பொட்டு ஓ அக்கா தங்கச்சி ஓ,,,""""லு"
0,எல்லாமே குலுங்குது மயிறு..... 🖕
0,உன்ன பாக்க பாக்க வாயில அசிங்கமா வருது
0,ஒம்மால தூக்கி போட்டு ஒழுக்க
0,ஏன் இரவு. இப்பவே வரவா ஓக்க
0,"கல்ப்ரீட் உன் அம்மா புண்டைல"",,,,,,,,,,,,  கடப்பாரை வச்சு ஓட்டை போடலாமா 😁"
0,உன் சூத்துல ஒரு சூடும் தாரேன்
0,டேய் முதவி மேதுவா பேசு பேயே
0,நான் ஊம்ப கொடுக்க மாட்டேன் அடிச்சிடுவேன்
0,ஒரளவுக்கு உருட்டு  ஓவரா உருட்டாத புண்ட
0,ரொம்ப தரங்கெட்ட ப******* ஒத்த க***
0,சுன்னி நீயெல்லா ஒரு ஆளு 👠👠👠👠👠👠👠👠👠👠👠👠👠👠👠
0,அட பாவிகளா முதேவி
0,டேய் பரதேசி உன் வாழ்க்கைக்கு இதெல்லாம் ரொம்ப முக்கியம் திருந்தாத பரதேசி அவனுக்கு ஒரு படத்தினுடைய சம்பளம் 60 கோடி அடுத்த மாதம் வீட்டு வாடகை கொடுப்பதற்கு பணம் உன்னிடம் உள்ளதா போய் உழைக்கிற பாருடா தம்பி உனக்கு ஏதேனும் பிரச்சனை என்றால் உன் தலைவன் உதவி செய்வாரா உன் வாழ்க்கை உன்னை பெற்றவர்கள் கையில் உள்ளது
0,வீடியோ கென்யா வாநைஜரியாவா மெண்டல் விளையாட்டு
0,உன்ன நல்லா கூதியா விருச்சி நல்லா ஓக்கணும் வரியா டி செல்லம் 🍌🥰🥰🥰🍌🍌🍌💧
0,"நாய் வால் , நாய் பல், பறவை,கல் ,அணில், சிறுவனின் கழுத்து பட்டை,Fire hydrent key,நாய்க்கு மேல் உள்ள மரம், சிறுவனின் பின் புரம் உள்ள செடிகள் ஒன்று தெரியவில்லை"
0,Q செருப்பு பிஞ்சிடும் தேவிடியா செருப்பு பிஞ்சிடும் இந்த மாதிரி வீடியோ போட்டா செருப்பை கழட்டி அடிப்பேன் இப்படிக்கு உதயகுமார் போன் நம்பர்  <number> கால் மீ
0,நாரா கூதி வெட்கமே இல்லையா உனக்கு
