label,text
0,कभी ये खुद भी भाजपा का अंधभक्त-अंडभक्त रहा
0,इसके lip देख कर ऐसा लग रहा है कि बहुत सारे चीटियां और मधुमक्खियों ने काट लिया है 😆😆😆😆😆😆🤣🤣🤣🤣🤣🤣🐝🐜🐝🐜🐝
0,घंटाघर निकला है साला सूअर
0,वाह ji सरम भी नहीं आई का तुझे
0,मुंह में लौड़ा ले कर दूंगा
0,तेरी बहन की चूत मादरचोद
0,ऐसा लग रहा मोटी को हगना आया है अभी हग देगी
0,तुझे confirtabale नहीं लगता होंग न ऐसे कपडे मे..?
0,मारो ऐसे पंच को मारो तो कभी बोट मत दो ऐसे कुत्ते को तो
0,कैसी कैसी लेडी भरी पड़ी है एससी पर !😷🤣🤣🤣🤣
0,ये है दंगे करवाने का bjp का मास्टर स्ट्रोक
0,इस भड़वे को क्या पता होगा
0,तेरी माकी चुत भोसडीके मादर चोद लवडे भेंचोद लवडे😢😢😢😢😮😮😮😮😡😡😡😡😡😡😡😡😡
0,एक और बार मत करना ऐसा वरना नंगी हो जाएगी
0,इतनी भी खूबसूरत नहीं है
0,किसी के बेटे के साथ भी नहीं खेलना चाहिए ये भूल गई
0,जब लड़का हिंदू था तो 4 साल तक लड़की खुशी-खुशी चिपकती रही और जब पता चला लड़का मुस्लिम निकला तो लव जिहाद बन गया
0,तुम तो झुंड बना कर जाते हैं तो कुत्तों की तरह रिपोर्ट मारने शेरनी तो अकेली ही काफी है 🤞🤞😎😎😎😎
0,हरामखोर गुजरात्यांचा भडवा. महाराष्ट्रद्रोही.
0,कोन है ये कुत्ता
0,चोद ने देगी तो अपना नंबर भेज
0,साले तेरे को शर्म नहीं आ रही क् या
0,अबे साले कुत्ते वाला काम क्यों कर रहा है तुझे बहन के पैर खुद छूने चाहिए तू साले अपने बहन को जूते छुआरा
0,अबे भोसड़ी के गोली पीतल की होती है
0,तेरा  पेट  का  बटन  बध कर साली  हरामी  वरना नीकाल दे  हरामी
0,शुभ संध्या वंदन बहना जी 🌹🙏
0,चुदवा ले बस ये कर
0,यही होता है जब लाइफ में कोई रण्डी आ जाती है तो
0,नंगी मत घूमा करो मां बाप की बेजती होती है
0,चुत दे तों वता
0,द एंड द एंड सेक्सी अंदाज से नहीं मामा जी को व्हाट्सएप के साथ कनेक्ट कर रहे हो तुम लेखनी को यह सारे लोग अपने आप कोई व्हाट्सएप है इस दिन साधक अपने ही काफी हैं लड़कियां रोज ही काफी नहीं है यह
0,बेवकूफ हे साला
0,"यदि हमारा बस चले तो , इस हरामी को खड़ी ""गोली"" मार दूं।"
0,यह तो पागल था आपको ध्यान रखना था
0,यार मित्रो कैसे कैसे वीडियो डाल देते हो😂😂😂😂😋😋😋😋
0,अबे नाम कैसा रखे हो चूतिया हो क्या
0,"अरे भाई कुछ तो शर्म करो, हमारी आस्था जुड़ी हुई है इनमे और  आपलोग इस तरह के पोस्ट करते हो, plz bhai"
0,😡😡😡😡😡😡चुत  मराती फिर चुत मे जयादा 🔥🔥🔥🔥गर्मी है तो
0,भक्ति में शक्ति नहीं है क्या मैडम थोड़ा धक्के
0,कितनो को मरोगी इस लाल खून से 😜🤣🤣
0,अबे सालों तुम जानो खा कर  बो मान्डे है
0,यह औरत ही पागल है 8 साल संग रहने के बाद इतना सब कुछ हुआ तो इसको पता नहीं था शादी करने को क्या था
0,जिस लड़की की आई डी एन ओ भोसड़ी का है मां का लौड़ा ही चढ़ा कहीं का उसकी मां चोद डालूं
0,साली सही है
0,बहुत बडे है आप के बाँल
0,"आओ मेरे पास, पेलने को बेकरार है मेरा घोड़ा 🍌, मैं नहीं झेलूंगा तुझे,तू मेरा हथियार झेल लो,तो जानूं"
0,चूची ले रही है पिक्चर पूरा करने वाला कपड़ा जरा असली माल लगाएं
0,पूरा कपड़ा उतार दो तब ज्यादा लाइक मिलेगा
0,तुम्हारा शरीर में बहुत रस भरा है
0,नीच आदमी को मोदी जी के काम अच्छे नहीं लगते हैं क्योंकि जल रही है ऐसे लोगों की जय श्री राम एक बार फिर योगी सरकार
0,उस हिसाब से तो अमेरिका सबसे गरीब होगा क्यो कि दुनिया मे सबसे ज्यादा कर्ज़ उसपर ही है
0,कुत्ते कुत्ते ही रहेंगे  शेर शेर ही रहेंगे
0,छक्का की पढ़ाई कर रही हैं
0,मर गए सब के सब
0,सिर्फ अंध भक्त चाहते हैं जिनकी आंख खुली हुई है वो नहीं चाहते
0,बिलकुल सही कहा कांग्रेस ऐसा ही षड्यंत्र रच रही हैं
0,चुतीया होता है वो जो ईए वो लतलोग
0,लण्ड ले लो
0,अरे बुड्ढे तेरे को मोदी कितना बर्पेल दिया रे तेरे को इतना याद आती है मोदी के
0,नाचने वाली का कोई धर्म नहीं होता है गीरगीट है कभी भी रंग बदल सकते हैं यह तो हमें तय करना है कि गीरगिट रखना है या असली शेर को
0,साले सब  हरामी है केन्द्र सरकार  के चमचे...........
0,आप सब कुछ टेंशन छोड़ कर आप मेरे वीडियो को कमेंट कीजिए लाइक कीजिए ठीक है टेंशन छोड़िए कोई क्या कह रहा है कोई नहीं कह रहा है उसका बात कर लीजिए आप आप अच्छे हैं आप समझदार हैं सबके नहीं आप जैसा कोई नहीं कल जाएंगे आप अच्छे हैं जो लड़कियां को कमेंट की है ना वही गंदा गंदा कमेंट कर रही थी पता नहीं कि वह मेरे वीडियो बना लिया था इसलिए क्या इसीलिए उसी को कमेंट करें फिर ऐसा तो ऐसा दुनिया भर के बोलने में शर्म लग रहा है पता नहीं उसको चाहती होगी तो ऐसा बोल रही है पर हमको पता नहीं है
0,"यदि ये सब सच है तो फिर कानून क्या सिर्फ कच्ची शराब, गांजा बरामद करने और बिना हेलमेट चालान करने के लिए बनाए गए हैं"
0,सही है और ईन को धरने पर पैसा और खाना भी वही लोग दे रहे है जो पर्दे के पिछे छुपे है
0,तरी माँकी चूद तेरी माँकी चूद
