label,text
1,"కరోనా డార్లింగ్,మా నుండి నువ్వు విడిపోయిన, మమ్మల్ని వొదిలేసి పోయిన,నువ్వు ఎక్కడ వున్నా మేం నిన్ను మాత్రం అసలు మర్చిపోము.   నువ్వు ఎక్కడ వున్నా తొందరగా సచ్చిపోవాలి అని మనసు పూర్తిగా కోరుకుంటున్నాను...  మిస్ యు కరోనా డార్లింగ్ 😔😔😔"
0,విడు ఈపాటికి ఎంత మంది అమ్మయిలని దేగిండో
0,నీ sandulu కావాలి
0,నా కొడకా పవన కళ్యాణ్ వెంట్రుక కూడా పికలేవు
1,నా పరిస్థితి అంతే
0,"టైగర్ అలియాస్ మై సన్ నీ అమ్మ పూకు లో కాకినాడ కాజాలు వేసి తియ్యగా నాకుతూ దెంగుతా ,😁"
1,మేడం నాకు ఒక కోరిక క్షమించాలి బుల్లెట్ బండి సాంగ్ చేయండి మేడం ప్లీజ్
0,ఈటెల ఈటే గుచ్చుకొని గిల గిల కొట్టుకుంటున్న గెల్లు😂😂😂 గేల్లు నీ చీల్చి కెసిఆర్ వైపు దూసుకెళ్తున్న ఈటె 😂😂😂😂
0,సుధీర్ లంజాకొడకా కుశాల్ లంజాకొడకా ఇద్దరు లంజలు పనికి పోయారా😀😀
0,"""ఉకో రెవ నువ్వు శ్రేయ లంజ కి బలుపు ఎక్కువగానే ఉంది""😊"
0,ఒరేయ్ బషీర్ ఈ నాలుగు కోట్ల మంది లో నీకు మంచి మంచిగా ఉన్నా ఉన్నవారు దొరక రా వేస్ట్ గా అంత వెతుక్కుంటూ వెళ్తావు
0,నీకు అంత సీన్ లేదు లే అన్ని జారిపోయి ఉన్నాయి
0,ఎర్రి పూకా డిలీట్ చెయ్
1,సరే సరేలే అక్క జాగ్రత్త 🚶
0,టాటా సండ్ల మీద వేయించుకున్నారు మీ ఆయన గారు ఏమన్నారు
1,సూపర్ హిట్ అవుతుంది అత్తయ్య
0,ఏం పాటలు ఈ పిచ్చి పాటలు
0,ప్రభ లంజే నీ పిచ్చి తల్లిని బట్టలు లేకుండా బెడ్ రూమ్ లో తీసుకొని పోయి పంగా చాపి దాని కర్రి లేత పూకులో నా మొడ్డని సుల్లిని పెట్టి  దెంగిస్తా 👉😆
0,ఎయ్ బిడ్డ ఇది న మొడ్డ
0,నీ అమ్మ సళ్ళు నీ నిలపెట్టి పిసుకుత
0,సుధీర్ లంజకోడక నీ తల్లి పూకులో పోర్న్ వీడియోస్ చూస్తూ పూకులో గోరు పెట్టి గెలుకుతా
0,జాతకం చెప్పబడును ప్రేమ సమస్యలు సంతాన సమస్యలు భార్యాభర్తల సమస్యలు కోర్టు సమస్యలు ఈ సృష్టిలో దైవ శక్తి ఉన్నది ఎంత నిజమో దుష్ట శక్తి ఉన్నది కూడా అంతే నిజం నమ్మకంతో కాల్ చేయండి ఎటువంటి సమస్యకైనా పరిష్కారం చేయబడును సెల్:☎️  <number> 📞rieoeo
1,నా తెలుగింటి అక్కా చెల్లెళ్ళకు ఆడపడుచులందరికి అన్న తమ్ముళ్ళకు మిత్రునితో కు సంక్రాంతి శుభాకాంక్షలు Good morning everyone 🥰🥳🥳🎊🎉🌹🌹🌹
1,"ఇలా ఉంటే చాలా బాగున్నావు బుజ్జి,, అసలు దేవుడు ఇంకొక రెండు కళ్ళు ఇస్తే బాగుండు అనిపిస్తుంది.అంత బాగున్నావు బంగారు🥰🥰🥰"
1,మనకు తెలియని విషయాలను మనకు అర్థం అయినట్లు చెప్పే వ్యక్తులను గురువులు అంటాం మనలను చక్కని దారి లో పంపే వ్యక్తులలో గురువులు కూడా ఉన్నారు🤗... హ్యాపీ టీచర్స్ డే శుభాకాంక్షలు
0,యార దే సిర్ర దే ఉత్తే ని....జట్టు తెర క్రే రాజ్ నీ
0,"TDp fade out ,ఏదో తమ ఉనికిని గుర్తుచేయడానికి ఈ బంద్ ప్రయత్నం ..ఆ ప్రభావం 0.01% కూడా లేదు waste of time వృధా ప్రయాస నయానో బయానో ysrcp inko 10 yrs ilage ఉంటది,so hope u understood rest తీసుకోండి family తో hpy గా ☺️"
