label,text
0,भीड़ में  बहुत  हब्सी मिलेंगे
0,साले बेवकूफ अपनी मां मक्खियां  तो हटा दें
0,बुर देदो तो मुह में लंड ले लो तो
0,कुत्ता वहा है चिल्ला तू क्यों रहा है
1,चाय नहीं पीता हूं मैं इसी को छोड़ दिया ok
0,"बैंकों से सरकार का रिश्ता दलाली का है, बड़े बड़े चोरों को लोन दिलाने के एवज में बैंक से भी दलाली लेते है और बड़े लोग से भी"
0,"#पगली 😍 हम तो #बहोत 😎 _शोकीन हैं 👸👈 #तुजे डोली🎠 मे बिठाके 👫 लेके #जाते, पर 👸👈 तेरे 👗 #कपड़े और 💃 #स्टाईल 👀 देखके 👩 मां केहेगी 😋 #हरामखोर 😍👈 तुझे 👸 _बहु लाने के लिए कहा था 👰 #Heroine ❌ नहीं !!"
0,ohh my god . यहां इतने सारे चमचे इसका मतलब जलनखोरो की कमी नही है
1,आप मेरे कमेंट का इतना  इंतजार क्यों करते है
0,भोसड़ी को बात करने दो
1,आप बहुत प्यारे हो सनम
0,हमें   परमात्मा की   भक्ति   करनी    चाहिए   नहीं तो   गधी   बनोगी    sat   saheb  ji🙏🙏
0,ये बीजेपी वाले बहुत चूतिया है
1,तुम्हारे पीछे पड़े हैं  बहुत सारे नमूने हैं   किसी का तो फ्रेंड रिक्वेस्ट एक्सेप्ट कर लो😂😂😂😂🤣😂😀😀😀😁😁
0,तेरि माँ किचुत सालि
1,सुपर वेरी गुड काला चश्मा
0,सूचियां इतनी सेक्सी हैं चूत कितनी मस्त होगी तुम्हारी
1,सुंदर दिसतेस तू नाद खुळा
1,नाक क्लीन हो जाता क्या ऐसा करने से
0,कोई भी धक्का मुक्की नहीं करेंगा सभी को गाली देने का बराबर मोका मिलेगा सभी के चाय नाश्ते कि व्यवस्था करता हूं और आशा करता हूं कि सभी नयी गाली देंगे  😂😂😂😂😁😁😁
1,मजीद मिली एक ना एक दिन
1,आपने सही कहा।डीएनए जांच करके एक एक भारत में हराम की कमाई खाते पड़े हरामखोर को निकालना चाहिए।
0,अरे  ओ  क्यूट  बेबी  ताकत  तो  बहुत  से  पोस्टर पर लखाण विचार व्यक्त करके   बिचारेपन दीवाने की  कुछ    टी  बी  पेशंट नहीं   जो  कोशिक कि    थोड़ा  छुपाने कि  कोशीस किधर से  आई  आई   आई आई  करते रहो  कोई    कोशीक  करो       भाई  कांगले नहीं हो     ऐ डा बनके पेड़ा  खाते हो गुड़ मोरनिंग   किसी के  मुंह में  हाथ मत डालो  बात  बुलवाने के रीमेक    बेबी   बबली  बंटी    नाटक कम करो   कटी  कटी कटी   करो   कटी
0,आजकल बच्चे जवान हो रहे है और कपड़े छोटे हो रहे है इससे बड़े कपड़े तो शायद पांच साल के बच्चे पहनते है आजकल की पीढ़ी को पढ़ने लिखने की जरूरत नही है हरकते तो आप लोग जाहिल.अनपढ़ . गवार  वालो से बदतर करते हो
0,पूरी नंगी होकर वीडियो बनाओ गीत सब लाइक करेंगे
0,सत्ता की कुर्सी है कुछ भी क्या सकती है
0,कितनी गिरी हुई औरत है तुझ में थोड़ी भी शर्म नाम की चीज नहीं है क्या कैसी औरत है तू थोड़ी भी शर्म कर यह सब करके तुम क्या करना चाह रही हो तुम तो करैक्टर लेस औरत हो ही साथ ही तुम सब को बदनाम करना चाहती हो बेशर्म औरत तुम बाजारू औरत हो रंडी हो तुम
0,हिजाब इसलये धके रहते हो कि कही किसी के साथ मुह मार कर तो नही आई है और सरकार फ्री तो देकर देखो हिंदुस्तान से एक भी हिजाब नही रहेगा जय हिन्द जय भारत 🙏🙏🙏
1,"आदरणीय फलानी जी   आपके मुबारक पावों के बीच जो दरवाज़ा-ए-जन्नत है , उसमे ये नाचीज़ अपने औज़ार-ए-तबसुम की दाखिला-ए-गचागच की इज़ाज़त चाहता है.. 😝😜😝😜 👉"
0,"तुम बस यही करो , आतंकवादी बनो"
1,"दिल को सबके लिए पत्थर बना के रखा है बस मेरी याद को जेवर बना के रखा है ... !!  जिसको तुम लड़की समझते हो ""जादूगरनी"" है जाने कितनो को कबुतर बना के रखा है ..!!😊"
0,यह तो पहले से टूटा हुआ हैवी झाडू भोसड़ी के
1,चाय का पैसा मोदी जी देंगे हां ना
0,बहन की लोहड़ी रंडी
1,नहीं जी बिल्कुल बुरे नहीं हो आप तो मां के लाडले बेटे हो जो छोड गये जाने दो।❤️❤️
1,बहुत ही अच्छा प्रदर्शन।
1,जिसे अच्छी औरत मिल जाती वो आदमी उसकी कभी कदर नही करता है दीदी  पता नही भगवान भी औरतों  की ऐसी किस्मत की यू लिख देता है  के8के8
0,बाप के कपड़े उतर गए बेटी के पहनवे में बेटी ने कपडे उतर दिए फ्लोवर बढ़ाने में
0,इन साले के खानदान है तो इस देश को लूट लिया बर्बाद कर दिया
1,"भैया बोला बहना प्यारी, तू है मेरी रा जदुलारी, आंच ना आ ने दूंगा तुझ पे ये मेरा है वादा तुझसे!"
0,"फेंक लो जितना लम्बा फेंक सकते हो , पप्पू मूत्रजीवीयों"
0,"ये को किसानों के बड़े  हम दर्द बनते है ,,यही लोग १ रुपया किलो रेट bdh जाने पर हिजरो की तरह नंगा नाच करते हैं।"
0,धारा 302 लगा दो साले पर
0,चोर जीते या डाकू अपने को क्या देश को तो सभी लूट रहे हैं
1,गजब मेडम जी वो क्या बात है जी❤️❤️❤️❤️❤️🌹❤️🌹❤️🌹❤️🌹❤️🌹❤️🌹❤️🌹❤️🌹❤️🌹❤️🌹❤️
1,कुत्ते के भी नसीब देखो।😍😍😍😝😝
1,टीवी📺 और मोबाईल से.... धन्यवाद🙏💕.
0,आवा गर्मी देती हो
1,"""एक कंजूस अपने बच्चे को पिट रहा था😋 पड़ोसी ने पूछा- क्यों पीट रहे हो😈  कंजूस-इसको बोला एक सीढी छोड़कर चढ़, चप्पल कम घिसेगी😛  नालायक 2 सीढ़ी छोड़कर चढ़ा, पाजामा फाड़ दिया.😳🤣🤣🤣🤣🤣"
0,तुम्हारे दूध इतने सुन्दर है तो वो कितनी सुंदर होगी
0,दुनिया में चुतियो की कमी नहीं है l एक धुंडो तो सौ मिल जाते है l Hopless
1,कमेंट पढ़ कर मजा आ गया मैं  तो कमेंट पढ़ने आया हूं और हमारे जैसे कौन-कौन है कमेंट पढ़ने वाले
0,कुत्ता ही मिला था
1,🙏🙏आजाद देश भारत मे जितनी महीलाऐ आजाद हैं।सायद दूनिया मे कही नही होगीं।बस फर्क इतना है। कि अमीर घऱ से लेकर ओफिस तक हर जगह आजाद है।और वही गरीब इनकी झुठन साफ करने से लेकर ले्टीगं बाथरूम साफ करके गुलाम हैं। अमीर आजाद है। गरीब गुलाम है।🙏🙏
1,आप रूकजाओ बहुत पेसा कमा लीया
0,ठीक हुए चोदने के बेचाब नहीं आता है इसके बारे जब दिल को कहीं आराम नहीं सकता❤️
1,मैं आपका यूट्यूब चैनल देखती हूं और आप जो इस तरह आम पर ही वीडियो बनाते हो और स्नैपचैट पर में बहुत सारी वीडियोस देखती हूं और आप बहुत अच्छी वीडियो करा बनाते हो और बहुत मेहनत करते हो इसलिए ऐसे ही मेहनत
1,लोग कैसे कांग्रेस के 70 साल के बलिदान को भूल सकते है
1,कुरकुरे खाया करो 🤭🤪🍎
0,अनजान से निकालो मेरा दम घूट रहा है वहां ☹️😭
0,🙏इसलिए घूमने से पहले पैसा कमा साले सब बात करेंगे🙏
1,"साड़ी हमारा भारतीय परिधान है ,इस पर रोक कैसे हो सकती है, यह रेस्टोरेंट बंद करा जाए"
1,कोई आनलाईन है तो कम से कम गुड आफ्टरनून बोल दो जी 🍫🍫🍫🍫🍫
0,कुट्टी कुट्टी कुट्टी परी है तू
0,"कुछ जनता की आदत है,कि कुत्ता पागल हो जाय तब भी उसको पालते रहते चाहें कुत्ता काटने की सुई लगवानी पड़े"
1,देव से पूछो अंजलि कुछ ना कहो चुप ही रहो देखो धड़कन कहती है
1,लव फोर इवर।वन साइडेड की कल्पना नहीं आ रही है
0,जय श्री राम जय जय श्री राम शर्म करो जिनको राम के नाम से शर्म आ रही है
1,दिल तोड़ के हंसती है मेरा वफाऐ मुझे याद करेगी
0,आप ये वीडियो डिलीट कर दीजिए ये वीडियो सही नहीं है
0,आपके मांग में सिंदूर भी नजर आ रहा है।
0,एकदम चुटिया खोल कर दिखा दे तू तो कितना बढ़िया रहते हमार जा
1,सुन सुन नन्हे लोरी की धुन
0,वीडियो पर जो लिखा है असके बाप को डसे और विडियो बनाया है तेरी मां कि चुत
1,पढ़ोगे तो जरूर पढ़ पाओगे ।  कुछ और करने से अच्छा सिलेबस ही खतम कर जाओगे
1,मैंने भी आपकी वीडियो शेयर कर दिया है जी हां दोस्त आप 💝💝💝💝❣️❣️❣️💖💖👌👌👌🌹🌹🌹
1,बहुत बहुत सुन्दर लग रही हो जी
0,साले कुते तू कॉग्रेसी चमचा है
1,बोलो साक्षी जी कितने साल की हो
1,👉👉देखो जब तुम सब बहुत दुखी हो बहुत उदास खूब परेशान हो  और चिंता चीख चीख कर कह रही। है की 👉अब कुछ नहीं हो सकता तुम्हारा मरने   का मन और जब तुम्हे लगने लगे की जिंदगी साला अब कुछ नहीं बचा है 👉तब उस  समय मुझे याद करो
1,पासवर्ड देने के बाद v ट्रस्ट n होता लोगो को
1,केर के पेड़ पड़ पत्ता नही  ऐसा पेड़ सब्जी का होता नही की पपत्ते ना हो हर सब्जी में। पत्ता रहता है
1,बता दो ना दिल में क्या है तुम्हारे
1,"कुछ तो जादू है सांवरे ... आप की इन आंखों में ❤️ जब से इन आंखों को देखा है"" राही"" कुछ और दिखता ही नहीं 😊😊"
1,अब तबीयत कैसी है बेटा अब ठीक हो अच्छे डॉक्टर को दिखा लेते🌿🌿🌿🌿🌿🌿🌿🌿🌿🌿🌿🌿🌿🌿🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹👌👌👌👌👌
1,भाई  ताला चाहिए
0,ऐसे ही अपना जवानी दिखाओ तभी तुम जैसे लड़की को देख कर कोई लड़का बिगड़ता है
1,ताई खुप सुंदर 👌👌🌹🌹
1,आई लव यू जान आपसे बहुत प्यार करता हूं हमारा मोबाइल नंबर ले लेना
0,मतलब नंगे नाच करना कितना पसंद है लोगो को
1,दो घंटे रोने के बात अप तो बची हो गोई 🤭😛😜😝🤭
0,"BJP एक अकेली ऐसी पार्टी है जिसके नेता तो गांधी को पूजते हैं और उनके वोटर नाथूराम को😂ओर दोनो में इस बात को लेकर कोई झगड़ा भी नही😜,😝😝"
0,सही है  बेकदर नहीं .....पत्थर के सनम 😂😜 पुरे हरामी है हम ........मेरे जैसी हरामी कही ढुंडकर
0,भाई चुनाव के चक्कर में सरकार कुछ भी कर सकती है पेपर रध करना तो बहाना है
0,मनुष्य एक है साले चमार कह रहा है mother chod
