label,text
1,"मोहब्बत मे शक और गुस्सा आछा नहीं,, समझो तुमारी मोहब्बत सची नहीं,, तुम ऊसे खो तो जाओगे,, लेकीन वापसी कभी न मील पावोगे,, गुड मोर्निंग,"
1,"क्या बतायें  पोस्ट में तो कार्तिक नायरा को ही दिखाया है फिर भी हमारी फेबरैट जोड़ी राधा कृष्णा जी है इस जोड़ी के सामने सारी जोड़ीयां फीकी लगती है हैं राधे, कृष्णा, कृष्णा, राधे ,🙏🙏"
0,"बीवी के साथ आज पूरा देश लड़ रहा है लेकिन याद रखे हमे बीवी से लड़ना है साली से नही.....😜😜  उसके साथ भेदभाव ना करे बल्कि उसकी देखभाल करे,बीवियों से बचने के लिए जो हमारी ढाल हैं जैसे साला-साली,साडूभाई, दोस्त, इनका सम्मान करें , इन योद्धाओं कि करो देख भाल तो हम सब जीतेंगे बीबी से हर हाल... अधिक जानकारी के लिए ससुराल हेल्पलाइन नम्बर या लैंडलाइन नंबर और मोबाइल नंबर पर संपर्क करें...                *धन्यवाद*  😜😜"
1,╔🍒════════════╗      🇬​🇴​🇴​🇩​ 🍵        🇲​🇴​🇷​🇳​🇮​🇳​🇬​ ╚═══════════🍏═╝                  \ (•◡•) /                    \      /                      -- --                      |    | आपका दिन☕ शुभ रहे 😎 खुश रहे सुखी रखे 💙🌺🌺🌺
1,लगता है सच में आप का दिल टूटा है
1,राम राम राम राम राम राम राम राम राम राम राम राम राम रामदेव से प्रार्थना करता मैं खूब पैसा वाला हूं जाऊंगा राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम हनुमान जी  राम राम राम राम राम राम राम राम राम राम राम राम राम राम राम
1,"दिल जब एक है, कई बार क्यों लगाया जाए,,       बस एक इश्क़ ही काफी है, अगर निभाया जाए..!! 💕💕💕😍😍"
1,❤❤अच्छा ये गाना किस फिल्म का है ❤❤
1,किया यह रिंग टोन पर नाम जोर सकते है । अमरीश     जी सेट  कर दिजिऐ
1,इस नाम की रिंगटोन आपने कहां से डाउनलोड किया
1,आप डरिए मत मेरे प्यारे पत्नी समीना जी खुदा जिनका साथ है आपको आपका मोहब्बत में मिलेगा आपका सपना भी पूरा होगा आप ऐसा इंसान है ना जो ठान लेते हैं वह कर सकते हैं
1,एक दिन हम आपको बोले थे मुझे बस आपके हाथों में इंजीनियर का डिग्री देखना है कुछ भी हो जाए हम तो जिंदगी भर आपका साथ रहेंगे कुछ समय जरूर इंतजार कर सकते हैं
1,जिसको भी क्रिएटर चाहिए वो मुझे इनबॉक्स में मैसेज करे 🤫😇
0,अरे गांडू साथ में खेलना है मुखड़ी के
1,पूछो ना पूछो ना कया हाल है हाल बडा बेहाल है
1,तेरे नंबर भेज
0,मादर चोद वीडियो मत डालना
1,धन्यवाद सभी मित्रो को
1,कोई मुझे भी फाॅलो कर दो 💞💞💞💞💞💞💞💞💞💞💞
0,आखिर बहन चोद
0,यार फिगर मस्त है
1,सोने के अलावा काम नहीं है
1,मेरे लिए अब से बढ़कर कुछ नहीं है आपका एक मैसेज मेरे लिए 100 मैसेज का बराबर है हम आपको गुस्सा नहीं है
0,कोठे  पर बेड जा बोत पैसे कमाएंगी
1,सच बात है
0,ये तेरे रं.डि maa की पिक है और ब.ड़वा बाप बहन की लौ.ड़ी
0,चूची और दिखा बढ़िया सर
0,तेरी माको चोदु साले अच्छे विडयो बना बयीन चोद
