label,text
0,ಕೆಳಗ ತುಲ್ಲು ಕಾಣಸತಾಯಿದೆ
0,"ಆಷ್ಟಕ್ಕೆ ಈ ತರ ಸುಳ್ಳು ನಾಟಕ ಆಡಬೇಕ, ಬುದ್ಧಿ ಇಲ್ವಾ ಇವಳಿಗೆ"
0,ನೀನು ತೋರ್ಸೋ ಹ್ಯಾಂಡ್ ಸಿಂಬಲ್ ನೋಡಿದ್ರೆ ಗೊತ್ತಾಗುತ್ತೆ ನೀನು ಎಂತ ಡಗಾರ್ ಎಂತ ಚಂಗುಲು ಅಂತ ತೂ ಹೆಣ್ಣಿನ ಜಾತಿಗೆ ಅವಮಾನ
0,ನಿಮ್ಮ್ ಅವ್ವ್ರ್ ತುಲ್ಲು  ಗೆದ್ದಯಿಂದ ಮುಕಳಿ ನಾ ಹಡಿತೀವಿ ಸೋತರು RCB ಗೆದ್ದರು RCB
0,ನಿಮ್ಮಪ್ಪನ ತುಣ್ಯಗ ನರ ಇಲ್ಲ ಅಂತಾನೆ ನಿಮ್ಮ ಅಪ್ಪ ಬಂದ್ ನಮ್ಮಪ್ಪಗ ಕೆಳ್ಯನ ಬಂದ ನನ್ನ ಹೆಂಡತಿಗೆ ಹಡು ಅಂತ.... ನಮ್ಮ ಅಪ್ಪ ನಿಮ್ಮ ಅವ್ವಗ ಹಟ್ಟ ಮೇಲೇನೆ ನಿನ್ ಹುಟ್ಟಿದು.. ಡೌಟ್ ಇದ್ರೆ ನಿಮ್ಮ ಅವ್ವಗ ಕೇಳು..
0,"ಲೋ ಬೋಳಿ ಮಗನೆ ನಿನಗೆ ಹಿಂದೂ ಧರ್ಮದಲ್ಲಿ ಇರಕ್ಕೆ ಇಷ್ಟ ಇಲ್ಲಾ ಅಂದರೆ ಯಾವುದನಾ ಧರ್ಮಕ್ಕೆ ಹೋಗಿ ಸಾಯಿ ನಮ್ಮ 130 ಕೋಟಿ ದೇವರ ಬಗ್ಗೆ ನಿನಗೆ ಯಾಕೆ ಕಲಬೆರಕೆ, ನಿನ್ನ ಸಂವಿಧಾನ ನೆನ್ನೆ ಇಲ್ಲಾ ಮೊನ್ನೆ ಬಂದಿದೆ ನಮ್ಮ ಹಿಂದೂ ಧರ್ಮ ಸಾವಿರಾರು ವರ್ಷಗಳಿಂದ ಇದೆ ಹೆಣ್ಣನ್ನು  ದೇವತೆ ರೂಪದಲ್ಲಿ ಪೂಜಿಸುವ ದೇಶ ನಮ್ಮದು"
0,le ಗೂಬೆ ಬೇರೆ ಬಟ್ಟೆ ಇಲ್ವೋ le..ಒಳ್ಳೆ gaandu ತರ ಕಾಣುತ್ತೀಯ
0,ಚಪ್ಪಲಿ ತಕೊಂಡು ಹೊಡೆ ಯಿರಿ
0,"ಸಮ ವಸ್ತ್ರ ಧರಿಸಿ ಬರುವುದು ಕಾಲೇಜಿನ ನಿಯಮ, ಆ ನಿಯಮವನ್ನು ಮಿರಿದರೇ  ಯಾರಿಗೂ ಕಾಲೇಜಿನ ಆವರಣಕ್ಕೆ ಪ್ರವೇಶವಿಲ್ಲ,ನಿಮ್ಮ ನಿಮ್ಮ ಆಚಾರಗಳನ್ನು ನಿಮ್ಮ ಮನೆಯಲ್ಲೇ ಆಚರಿಸಿ ಇಲ್ಲ ದೇಶ ಬಿಟ್ಟು ತೊಲಗಿ ಹಂದಿಗಳ."
0, @user ಸಾಮ್ರಜ್ಯ🚩 ತರ ನಿನ್ janmukke
